metadata_feature,mean_abs_shap,relative_importance
patient_age,0.28856607504189014,0.9548834154696109
optic_disc,0.0054244203461954995,0.01794975042151469
macula,0.0031750323316858463,0.010506383041272296
patient_sex,0.002596589542614917,0.008592279222929704
vessels,0.0010653334509697742,0.003525255850426533
exam_eye,0.0007054114449420013,0.0023342511407821913
focus,0.0005153453407789736,0.001705310366362162
Illuminaton,0.00015162734935681026,0.0005017445006708315
artifacts,4.865384168321421e-07,1.6099864308526585e-06
diabetes,0.0,0.0
